n	retval	time	result
10	1	0.000029	1010100010
10	1	0.000027	1100111100
10	1	0.000027	0110000001
10	1	0.000027	1101000010
10	1	0.000027	1001110101
10	1	0.000027	1101101110
10	1	0.000027	1101000100
10	1	0.000027	1000001111
10	1	0.000027	0000000001
10	1	0.000027	0001101011
10	1	0.000027	1001000100
10	1	0.000027	1000000001
10	1	0.000027	0011100100
10	1	0.000027	0001100101
10	1	0.000027	1011100101
10	1	0.000027	0110000110
10	1	0.000027	1010011010
10	1	0.000027	0100100011
10	1	0.000027	0100111101
10	1	0.000027	1001101100
11	1	0.000027	10000000000
11	1	0.000053	10110010100
11	1	0.000053	10001010111
11	1	0.000053	01100011101
11	1	0.000052	11011100000
11	1	0.000053	01001111110
11	1	0.000053	10101101110
11	1	0.000053	01000100111
11	1	0.000053	00000100010
11	1	0.000052	10011010101
11	1	0.000053	11010000111
11	1	0.000052	01001011000
11	1	0.000053	01101000011
11	1	0.000046	10100000000
11	1	0.000053	11011001111
11	1	0.000056	00001110111
11	1	0.000072	01110111010
11	1	0.000070	11001000101
11	1	0.000070	01101001100
11	1	0.000082	10100000100
12	1	0.000108	111100001101
12	1	0.000104	111001101101
12	1	0.000104	100011110101
12	1	0.000104	110001001100
12	1	0.000104	000010100011
12	1	0.000105	110110101111
12	1	0.000104	111010000001
12	1	0.000105	010101101101
12	1	0.000105	101010111000
12	1	0.000104	111011001000
12	1	0.000105	001100010101
12	1	0.000105	001000000001
12	1	0.000105	101010011111
12	1	0.000091	001000000000
12	1	0.000104	110101010110
12	1	0.000117	100001011100
12	1	0.000105	111010111101
12	1	0.000104	010100111111
12	1	0.000104	010001011100
12	1	0.000104	100000101110
13	1	0.000208	0011100010111
13	1	0.000208	0110011010100
13	1	0.000209	1001001011011
13	1	0.000209	1100101111001
13	1	0.000208	0101101001000
13	1	0.000208	1001111110010
13	1	0.000209	0011110001011
13	1	0.000177	0000001101000
13	1	0.000082	1111100100100
13	1	0.000082	0001010001000
13	1	0.000082	1101101101001
13	1	0.000082	0000010011001
13	1	0.000082	0100011011001
13	1	0.000082	1010111001100
13	1	0.000082	1001110101011
13	1	0.000095	0011010101001
13	1	0.000083	1101001000011
13	1	0.000082	0101101001100
13	1	0.000082	1111110011110
13	1	0.000082	0101011010011
14	1	0.000165	00110111111101
14	1	0.000163	10110110001001
14	1	0.000163	00000010100110
14	1	0.000163	00011010101101
14	1	0.000164	01111110001110
14	1	0.000278	10001001010000
14	1	0.000280	10100101001010
14	1	0.000180	01110010111001
14	1	0.000197	01010010000101
14	1	0.000183	10011111011101
14	1	0.000202	00101001010110
14	1	0.000190	01001100101001
14	1	0.000195	11101011110010
14	1	0.000193	10110101010010
14	1	0.000201	11110000011101
14	1	0.000184	00000010001011
14	1	0.000195	00110011000101
14	1	0.000200	00011001111111
14	1	0.000193	00111000100101
14	1	0.000191	10001110000010
15	1	0.000383	000101111101110
15	1	0.000383	000101001001010
15	1	0.000425	000001001001111
15	1	0.000382	001110010111010
15	1	0.000353	010110111101111
15	1	0.000365	011011110011101
15	1	0.000357	100011000000001
15	1	0.000376	010110101001100
15	1	0.000363	010101100001100
15	1	0.000372	110011001001000
15	1	0.000397	011000110111111
15	1	0.000371	100100001100011
15	1	0.000308	100100000001100
15	1	0.000310	011001011101100
15	1	0.000304	100001000101111
15	1	0.000304	010011110010001
15	1	0.000304	110100010011101
15	1	0.000304	000010101100011
15	1	0.000304	110001101111011
15	1	0.000304	101100101010011
16	1	0.000617	1001100111111011
16	1	0.000648	0111001101110001
16	1	0.000608	0001100010011001
16	1	0.000613	1110101100111101
16	1	0.000727	0001111111000100
16	1	0.000689	1000011011111101
16	1	0.000670	1011110101010011
16	1	0.000593	0111000000110111
16	1	0.000522	1110010111111000
16	1	0.000656	1010010010100001
16	1	0.000692	0010010000100010
16	1	0.000713	0111010111001001
16	1	0.000716	1011011000011110
16	1	0.000672	0101111011000100
16	1	0.000631	1001010010110001
16	1	0.000637	1100001101010100
16	1	0.000654	1110101001100010
16	1	0.000569	0110000011110101
16	1	0.000521	0000101100010100
16	1	0.000521	0100010101011010
17	1	0.001045	00011111011011010
17	1	0.001047	10001101111000101
17	1	0.001131	00010101111011100
17	1	0.001044	00000000100010110
17	1	0.001337	11110110001011111
17	1	0.001430	11001001111101111
17	1	0.001435	10010110101010011
17	1	0.001411	01010011100101101
17	1	0.001645	11011010010001000
17	1	0.001789	01011111110010111
17	1	0.001328	11111011001101110
17	1	0.001013	11011101111000000
17	1	0.001186	01110101110100000
17	1	0.001260	01011111101011010
17	1	0.001296	00111011001100101
17	1	0.001245	11110101011111010
17	1	0.001273	00100110011001000
17	1	0.001050	00011000011100100
17	1	0.001013	11010011101000010
17	1	0.001013	01110100111111110
18	1	0.002033	110110111001011000
18	1	0.002028	010111001000010000
18	1	0.002032	010111000001110001
18	1	0.002027	110010110100111011
18	1	0.002064	010110101011001001
18	1	0.002029	010111100000110110
18	1	0.002090	000001000110011101
18	1	0.002040	001011000000100101
18	1	0.001995	100001010111000011
18	1	0.002029	111110101100001111
18	1	0.001976	001010111010011000
18	1	0.001935	101000111110010010
18	1	0.001914	000011010110101010
18	1	0.001818	000101010011111001
18	1	0.001798	000100010111001111
18	1	0.001727	100101100001011010
18	1	0.001752	010001011000001110
18	1	0.001739	001110011001011001
18	1	0.001741	110010111000100101
18	1	0.001737	010001010110110110
19	1	0.003479	1000101010110111010
19	1	0.003436	0011111001111111110
19	1	0.003444	0110001111010101011
19	1	0.003430	1001111010001110101
19	1	0.003400	1100010101010111111
19	1	0.003427	0100100001000010110
19	1	0.003403	0101000111000101001
19	1	0.003425	1110101000011010111
19	1	0.003401	0110001001010110100
19	1	0.003401	0110001111101101100
19	1	0.003402	0011010000011001101
19	1	0.003400	1101011100100100001
19	1	0.003416	1011001101011011011
19	1	0.003401	1000010010111000010
19	1	0.003401	1011010011001101100
19	1	0.003401	1101110111001111000
19	1	0.003416	0010011110000000001
19	1	0.003400	0001110011100001111
19	1	0.003401	0100000001110000100
19	1	0.003581	1110000011100001001
20	1	0.006824	11001001110001100001
20	1	0.006790	00100001100110110000
20	1	0.006787	01011100010101110011
20	1	0.006812	00100011011000001110
20	1	0.006861	11000011001011010101
20	1	0.006842	10100000011000100101
20	1	0.006794	01000111100001001111
20	1	0.006826	11101111001101100110
20	1	0.006843	00100010000111110100
20	1	0.006788	11110110001011111010
20	1	0.006841	10110110010000110010
20	1	0.006792	10110011000111011000
20	1	0.006814	11000011000111100010
20	1	0.006821	10100011011101111110
20	1	0.006788	11101101010011001111
20	1	0.006814	01110011001111111010
20	1	0.006787	11011010100010011101
20	1	0.006788	10100010111100001011
20	1	0.006809	00000100110111111001
20	1	0.006788	01000101010011011101
21	1	0.013608	011100101010000000100
21	1	0.013596	110011101111100110100
21	1	0.013622	111000110110101000010
21	1	0.013601	001000110111001011011
21	1	0.013576	000110111110100000000
21	1	0.013602	111011010100101111001
21	1	0.013407	100101001100100010100
21	1	0.013436	000000001110001001110
21	1	0.013363	110000101101011110100
21	1	0.012495	010011011101110011010
21	1	0.013594	110101101000110100101
21	1	0.013602	101011011101100001100
21	1	0.013600	001100110011101000010
21	1	0.013602	001111001100100010010
21	1	0.013575	011010110110101101111
21	1	0.013600	111111100001110010110
21	1	0.013601	000010010110111111111
21	1	0.013601	100011100001111001011
21	1	0.013601	001111010010010110101
21	1	0.013600	100101111110110000101
22	1	0.027195	0100110001111011010100
22	1	0.027266	1111100100011011011100
22	1	0.027213	1111110000001110111101
22	1	0.027204	1110110001000011011101
22	1	0.027220	0111110001111011010000
22	1	0.027179	0000001101001000111110
22	1	0.027200	1110100110110011000111
22	1	0.027200	0100100010110100101000
22	1	0.027177	0000011001110110100011
22	1	0.027202	1111001000111011001111
22	1	0.027177	0000000110001111100101
22	1	0.027202	1100000011110101000111
22	1	0.027223	1111011011101110001011
22	1	0.027175	0110000110101011101001
22	1	0.027202	1110011100010100000010
22	1	0.027225	1100000110100100010000
22	1	0.027204	0100010111100000010110
22	1	0.027204	0111110010101001000000
22	1	0.027201	1000100110110110100010
22	1	0.027688	0101001000011111010000
23	1	0.055133	11111000110011010100101
23	1	0.054368	11110011100101010111100
23	1	0.054476	00110110100111110101001
23	1	0.054382	01000111110001100010000
23	1	0.054411	01010110111111101001101
23	1	0.054501	10011001000000000001101
23	1	0.054379	00001110111111001011011
23	1	0.054409	01111011001100000111000
23	1	0.054403	00001011000101011000100
23	1	0.054388	00001011011000000000110
23	1	0.054439	01111110110001111000101
23	1	0.054435	01000100101111110011100
23	1	0.054463	00010101111100010101101
23	1	0.054466	10000000110011001011000
23	1	0.054440	00110110001101010111000
23	1	0.054566	10101010001101010110000
23	1	0.054852	01110001010110101000001
23	1	0.054695	01001010001000011100001
23	1	0.054459	11010011000000000110111
23	1	0.054381	01100101111011111111111
24	1	0.108724	011111110111100101001000
24	1	0.108876	011001100110011110110101
24	1	0.109063	111001001111111101000111
24	1	0.109097	110010101001110100011110
24	1	0.109161	000011011001011010110011
24	1	0.109335	111001011000101101110111
24	1	0.109585	100101000010100110000101
24	1	0.108835	100011111110111100111110
24	1	0.109236	011100100001010110110010
24	1	0.108657	011011100111011100001010
24	1	0.108893	110000001100001111000000
24	1	0.108689	110010111110100100100001
24	1	0.120035	110110000000100000100011
24	1	0.123935	110100001010011111011010
24	1	0.120954	101100111111001000110101
24	1	0.114103	011011101111100101100111
24	1	0.111090	011010011001110100111000
24	1	0.110009	101110011000111001110111
24	1	0.110110	010010010100100011100001
24	1	0.109558	111111011011011111100000
25	1	0.212503	1011010001011110001111010
25	1	0.217447	1111101001010011101110001
25	1	0.217521	1011000111000011000111101
25	1	0.217496	1101101111100001110100001
25	1	0.217397	1011101110111011100010111
25	1	0.217432	1100000110010100110110101
25	1	0.217615	0110110000111011010100001
25	1	0.218221	0110001111100111101010101
25	1	0.217693	0011111000100110001101011
25	1	0.218489	0011001000100101011000110
25	1	0.218654	0001011011001011100101101
25	1	0.217567	1111001110111101000001100
25	1	0.219436	1001100001110100110101100
25	1	0.217550	0001110010010011100110111
25	1	0.219197	0100011110100101110100110
25	1	0.217348	1111101010000110011010010
25	1	0.217584	0101010000101000110110010
25	1	0.217511	1010111111000110001101110
25	1	0.217571	1111100010111010101100011
25	1	0.217555	0100110010111000101000100
26	1	0.431674	01011000101011000010100000
26	1	0.434380	10100000101000100111001100
26	1	0.435103	11010000010100011101010001
26	1	0.433567	01000101001100101111110100
26	1	0.433449	00001111010000000010111011
26	1	0.434148	00011001101100101010000001
26	1	0.433523	01001010101111111001011100
26	1	0.433538	11110010011101010111110100
26	1	0.433013	10001011111101110110101000
26	1	0.433911	00101111000010111000001010
26	1	0.435067	11110111101010010011110001
26	1	0.435187	10010101110001101111100100
26	1	0.435452	01000110001001001010111010
26	1	0.434808	00011011010000001111100101
26	1	0.434586	11100001100010001011011100
26	1	0.435175	10010000101001100100010011
26	1	0.434540	00010110000001100010110010
26	1	0.435104	11100011000001010111001011
26	1	0.434863	10010011000001001110011000
26	1	0.434757	11011010011010110001110000
27	1	0.869340	011111101011111000100100001
