n	retval	time	result
10	1	0.000020	1010100010
10	1	0.000022	1100111100
10	1	0.000011	0110000001
10	1	0.000023	1101000010
10	1	0.000017	1001110101
10	1	0.000024	1101101110
10	1	0.000023	1101000100
10	1	0.000014	1000001111
10	1	0.000001	0000000001
10	1	0.000004	0001101011
10	1	0.000016	1001000100
10	1	0.000014	1000000001
10	1	0.000007	0011100100
10	1	0.000003	0001100101
10	1	0.000020	1011100101
10	1	0.000011	0110000110
10	1	0.000018	1010011010
10	1	0.000008	0100100011
10	1	0.000009	0100111101
10	1	0.000017	1001101100
11	1	0.000027	10000000000
11	1	0.000038	10110010100
11	1	0.000030	10001010111
11	1	0.000021	01100011101
11	1	0.000047	11011100000
11	1	0.000017	01001111110
11	1	0.000037	10101101110
11	1	0.000015	01000100111
11	1	0.000002	00000100010
11	1	0.000033	10011010101
11	1	0.000044	11010000111
11	1	0.000017	01001011000
11	1	0.000022	01101000011
11	1	0.000034	10100000000
11	1	0.000046	11011001111
11	1	0.000004	00001110111
11	1	0.000025	01110111010
11	1	0.000043	11001000101
11	1	0.000023	01101001100
11	1	0.000034	10100000100
12	1	0.000101	111100001101
12	1	0.000097	111001101101
12	1	0.000060	100011110101
12	1	0.000083	110001001100
12	1	0.000005	000010100011
12	1	0.000092	110110101111
12	1	0.000097	111010000001
12	1	0.000037	010101101101
12	1	0.000072	101010111000
12	1	0.000099	111011001000
12	1	0.000021	001100010101
12	1	0.000014	001000000001
12	1	0.000071	101010011111
12	1	0.000014	001000000000
12	1	0.000090	110101010110
12	1	0.000056	100001011100
12	1	0.000099	111010111101
12	1	0.000036	010100111111
12	1	0.000030	010001011100
12	1	0.000055	100000101110
13	1	0.000072	0011100010111
13	1	0.000086	0110011010100
13	1	0.000123	1001001011011
13	1	0.000272	1100101111001
13	1	0.000059	0101101001000
13	1	0.000103	1001111110010
13	1	0.000039	0011110001011
13	1	0.000003	0000001101000
13	1	0.000161	1111100100100
13	1	0.000013	0001010001000
13	1	0.000078	1101101101001
13	1	0.000002	0000010011001
13	1	0.000024	0100011011001
13	1	0.000059	1010111001100
13	1	0.000054	1001110101011
13	1	0.000018	0011010101001
13	1	0.000071	1101001000011
13	1	0.000031	0101101001100
13	1	0.000086	1111110011110
13	1	0.000030	0101011010011
14	1	0.000053	00110111111101
14	1	0.000119	10110110001001
14	1	0.000002	00000010100110
14	1	0.000018	00011010101101
14	1	0.000083	01111110001110
14	1	0.000090	10001001010000
14	1	0.000108	10100101001010
14	1	0.000075	01110010111001
14	1	0.000054	01010010000101
14	1	0.000104	10011111011101
14	1	0.000027	00101001010110
14	1	0.000050	01001100101001
14	1	0.000154	11101011110010
14	1	0.000119	10110101010010
14	1	0.000185	11110000011101
14	1	0.000002	00000010001011
14	1	0.000041	00110011000101
14	1	0.000020	00011001111111
14	1	0.000043	00111000100101
14	1	0.000104	10001110000010
15	1	0.000036	000101111101110
15	1	0.000034	000101001001010
15	1	0.000007	000001001001111
15	1	0.000103	001110010111010
15	1	0.000163	010110111101111
15	1	0.000189	011011110011101
15	1	0.000218	100011000000001
15	1	0.000139	010110101001100
15	1	0.000144	010101100001100
15	1	0.000329	110011001001000
15	1	0.000149	011000110111111
15	1	0.000232	100100001100011
15	1	0.000213	100100000001100
15	1	0.000155	011001011101100
15	1	0.000200	100001000101111
15	1	0.000115	010011110010001
15	1	0.000300	110100010011101
15	1	0.000019	000010101100011
15	1	0.000302	110001101111011
15	1	0.000283	101100101010011
16	1	0.000512	1001100111111011
16	1	0.000410	0111001101110001
16	1	0.000084	0001100010011001
16	1	0.000767	1110101100111101
16	1	0.000103	0001111111000100
16	1	0.000437	1000011011111101
16	1	0.000573	1011110101010011
16	1	0.000325	0111000000110111
16	1	0.000694	1110010111111000
16	1	0.000460	1010010010100001
16	1	0.000110	0010010000100010
16	1	0.000358	0111010111001001
16	1	0.000540	1011011000011110
16	1	0.000253	0101111011000100
16	1	0.000403	1001010010110001
16	1	0.000519	1100001101010100
16	1	0.000519	1110101001100010
16	1	0.000229	0110000011110101
16	1	0.000024	0000101100010100
16	1	0.000149	0100010101011010
17	1	0.000135	00011111011011010
17	1	0.000624	10001101111000101
17	1	0.000092	00010101111011100
17	1	0.000003	00000000100010110
17	1	0.001052	11110110001011111
17	1	0.000886	11001001111101111
17	1	0.000629	10010110101010011
17	1	0.000349	01010011100101101
17	1	0.000921	11011010010001000
17	1	0.000401	01011111110010111
17	1	0.001186	11111011001101110
17	1	0.001175	11011101111000000
17	1	0.000591	01110101110100000
17	1	0.000498	01011111101011010
17	1	0.000310	00111011001100101
17	1	0.001254	11110101011111010
17	1	0.000194	00100110011001000
17	1	0.000124	00011000011100100
17	1	0.001161	11010011101000010
17	1	0.000674	01110100111111110
18	1	0.002258	110110111001011000
18	1	0.000891	010111001000010000
18	1	0.000769	010111000001110001
18	1	0.001706	110010110100111011
18	1	0.000747	010110101011001001
18	1	0.000763	010111100000110110
18	1	0.000036	000001000110011101
18	1	0.000358	001011000000100101
18	1	0.001141	100001010111000011
18	1	0.002058	111110101100001111
18	1	0.000459	001010111010011000
18	1	0.001593	101000111110010010
18	1	0.000128	000011010110101010
18	1	0.000199	000101010011111001
18	1	0.000179	000100010111001111
18	1	0.001477	100101100001011010
18	1	0.000680	010001011000001110
18	1	0.000551	001110011001011001
18	1	0.001829	110010111000100101
18	1	0.000569	010001010110110110
19	1	0.002273	1000101010110111010
19	1	0.001020	0011111001111111110
19	1	0.001921	0110001111010101011
19	1	0.003287	1001111010001110101
19	1	0.003409	1100010101010111111
19	1	0.001173	0100100001000010110
19	1	0.001357	0101000111000101001
19	1	0.004593	1110101000011010111
19	1	0.001866	0110001001010110100
19	1	0.001622	0110001111101101100
19	1	0.000846	0011010000011001101
19	1	0.003507	1101011100100100001
19	1	0.002917	1011001101011011011
19	1	0.002160	1000010010111000010
19	1	0.002935	1011010011001101100
19	1	0.003603	1101110111001111000
19	1	0.000641	0010011110000000001
19	1	0.000473	0001110011100001111
19	1	0.001046	0100000001110000100
19	1	0.003678	1110000011100001001
20	1	0.006833	11001001110001100001
20	1	0.001089	00100001100110110000
20	1	0.002977	01011100010101110011
20	1	0.001116	00100011011000001110
20	1	0.006299	11000011001011010101
20	1	0.005067	10100000011000100101
20	1	0.002258	01000111100001001111
20	1	0.007553	11101111001101100110
20	1	0.001049	00100010000111110100
20	1	0.007404	11110110001011111010
20	1	0.005386	10110110010000110010
20	1	0.004893	10110011000111011000
20	1	0.005301	11000011000111100010
20	1	0.004442	10100011011101111110
20	1	0.006457	11101101010011001111
20	1	0.003137	01110011001111111010
20	1	0.005947	11011010100010011101
20	1	0.004434	10100010111100001011
20	1	0.000133	00000100110111111001
20	1	0.001895	01000101010011011101
21	1	0.006181	011100101010000000100
21	1	0.011324	110011101111100110100
21	1	0.012363	111000110110101000010
21	1	0.001929	001000110111001011011
21	1	0.001497	000110111110100000000
21	1	0.012883	111011010100101111001
21	1	0.008086	100101001100100010100
21	1	0.000048	000000001110001001110
21	1	0.010589	110000101101011110100
21	1	0.004232	010011011101110011010
21	1	0.011663	110101101000110100101
21	1	0.009447	101011011101100001100
21	1	0.002784	001100110011101000010
21	1	0.003304	001111001100100010010
21	1	0.005842	011010110110101101111
21	1	0.013808	111111100001110010110
21	1	0.000513	000010010110111111111
21	1	0.007722	100011100001111001011
21	1	0.003324	001111010010010110101
21	1	0.008255	100101111110110000101
22	1	0.008322	0100110001111011010100
22	1	0.026463	1111100100011011011100
22	1	0.027229	1111110000001110111101
22	1	0.025380	1110110001000011011101
22	1	0.013530	0111110001111011010000
22	1	0.000357	0000001101001000111110
22	1	0.025377	1110100110110011000111
22	1	0.007452	0100100010110100101000
22	1	0.000629	0000011001110110100011
22	1	0.024919	1111001000111011001111
22	1	0.000170	0000000110001111100101
22	1	0.020477	1100000011110101000111
22	1	0.026841	1111011011101110001011
22	1	0.010615	0110000110101011101001
22	1	0.024108	1110011100010100000010
22	1	0.020583	1100000110100100010000
22	1	0.007337	0100010111100000010110
22	1	0.013314	0111110010101001000000
22	1	0.015423	1000100110110110100010
22	1	0.009055	0101001000011111010000
23	1	0.054089	11111000110011010100101
23	1	0.052939	11110011100101010111100
23	1	0.011880	00110110100111110101001
23	1	0.015602	01000111110001100010000
23	1	0.018909	01010110111111101001101
23	1	0.033366	10011001000000000001101
23	1	0.003259	00001110111111001011011
23	1	0.026061	01111011001100000111000
23	1	0.002409	00001011000101011000100
23	1	0.002473	00001011011000000000110
23	1	0.027524	01111110110001111000101
23	1	0.013919	01000100101111110011100
23	1	0.004542	00010101111100010101101
23	1	0.028027	10000000110011001011000
23	1	0.011783	00110110001101010111000
23	1	0.036877	10101010001101010110000
23	1	0.024647	01110001010110101000001
23	1	0.016125	01001010001000011100001
23	1	0.045909	11010011000000000110111
23	1	0.022102	01100101111011111111111
24	1	0.056669	011111110111100101001000
24	1	0.043900	011001100110011110110101
24	1	0.097698	111001001111111101000111
24	1	0.086902	110010101001110100011110
24	1	0.005907	000011011001011010110011
24	1	0.098926	111001011000101101110111
24	1	0.064252	100101000010100110000101
24	1	0.062586	100011111110111100111110
24	1	0.049533	011100100001010110110010
24	1	0.048039	011011100111011100001010
24	1	0.083410	110000001100001111000000
24	1	0.095501	110010111110100100100001
24	1	0.093796	110110000000100000100011
24	1	0.089874	110100001010011111011010
24	1	0.077283	101100111111001000110101
24	1	0.048262	011011101111100101100111
24	1	0.045837	011010011001110100111000
24	1	0.079276	101110011000111001110111
24	1	0.031532	010010010100100011100001
24	1	0.110252	111111011011011111100000
25	1	0.156714	1011010001011110001111010
25	1	0.214779	1111101001010011101110001
25	1	0.152765	1011000111000011000111101
25	1	0.193440	1101101111100001110100001
25	1	0.161990	1011101110111011100010111
25	1	0.168442	1100000110010100110110101
25	1	0.092985	0110110000111011010100001
25	1	0.086913	0110001111100111101010101
25	1	0.053964	0011111000100110001101011
25	1	0.043314	0011001000100101011000110
25	1	0.019344	0001011011001011100101101
25	1	0.212565	1111001110111101000001100
