n	retval	time	result
10	1	0.000013	1010100010
10	1	0.000012	1100111100
10	1	0.000021	0110000001
10	1	0.000010	1101000010
10	1	0.000028	1001110101
10	1	0.000018	1101101110
10	1	0.000005	1101000100
10	1	0.000039	1000001111
10	1	0.000020	0000000001
10	1	0.000035	0001101011
10	1	0.000004	1001000100
10	1	0.000018	1000000001
10	1	0.000004	0011100100
10	1	0.000024	0001100101
10	1	0.000025	1011100101
10	1	0.000012	0110000110
10	1	0.000011	1010011010
10	1	0.000030	0100100011
10	1	0.000029	0100111101
10	1	0.000006	1001101100
11	1	0.000000	10000000000
11	1	0.000015	10110010100
11	1	0.000090	10001010111
11	1	0.000071	01100011101
11	1	0.000003	11011100000
11	1	0.000047	01001111110
11	1	0.000045	10101101110
11	1	0.000087	01000100111
11	1	0.000025	00000100010
11	1	0.000064	10011010101
11	1	0.000084	11010000111
11	1	0.000009	01001011000
11	1	0.000071	01101000011
11	1	0.000001	10100000000
11	1	0.000102	11011001111
11	1	0.000088	00001110111
11	1	0.000034	01110111010
11	1	0.000059	11001000101
11	1	0.000018	01101001100
11	1	0.000010	10100000100
12	1	0.000142	111100001101
12	1	0.000146	111001101101
12	1	0.000141	100011110101
12	1	0.000041	110001001100
12	1	0.000157	000010100011
12	1	0.000194	110110101111
12	1	0.000102	111010000001
12	1	0.000146	010101101101
12	1	0.000023	101010111000
12	1	0.000014	111011001000
12	1	0.000132	001100010101
12	1	0.000101	001000000001
12	1	0.000199	101010011111
12	1	0.000000	001000000000
12	1	0.000094	110101010110
12	1	0.000046	100001011100
12	1	0.000148	111010111101
12	1	0.000201	010100111111
12	1	0.000046	010001011100
12	1	0.000093	100000101110
13	1	0.000386	0011100010111
13	1	0.000071	0110011010100
13	1	0.000359	1001001011011
13	1	0.000300	1100101111001
13	1	0.000043	0101101001000
13	1	0.000184	1001111110010
13	1	0.000416	0011110001011
13	1	0.000037	0000001101000
13	1	0.000065	1111100100100
13	1	0.000034	0001010001000
13	1	0.000273	1101101101001
13	1	0.000284	0000010011001
13	1	0.000284	0100011011001
13	1	0.000089	1010111001100
13	1	0.000407	1001110101011
13	1	0.000279	0011010101001
13	1	0.000359	1101001000011
13	1	0.000096	0101101001100
13	1	0.000229	1111110011110
13	1	0.000367	0101011010011
14	1	0.000724	00110111111101
14	1	0.000554	10110110001001
14	1	0.000369	00000010100110
14	1	0.000622	00011010101101
14	1	0.000368	01111110001110
14	1	0.000033	10001001010000
14	1	0.000270	10100101001010
14	1	0.000512	01110010111001
14	1	0.000524	01010010000101
14	1	0.000611	10011111011101
14	1	0.000344	00101001010110
14	1	0.000485	01001100101001
14	1	0.000256	11101011110010
14	1	0.000249	10110101010010
14	1	0.000620	11110000011101
14	1	0.000689	00000010001011
14	1	0.000681	00110011000101
14	1	0.001168	00011001111111
14	1	0.000755	00111000100101
14	1	0.000275	10001110000010
15	1	0.000965	000101111101110
15	1	0.000636	000101001001010
15	1	0.001981	000001001001111
15	1	0.000852	001110010111010
15	1	0.002243	010110111101111
15	1	0.001327	011011110011101
15	1	0.000891	100011000000001
15	1	0.000392	010110101001100
15	1	0.000371	010101100001100
15	1	0.000139	110011001001000
15	1	0.001904	011000110111111
15	1	0.001493	100100001100011
15	1	0.000336	100100000001100
15	1	0.000365	011001011101100
15	1	0.001624	100001000101111
15	1	0.000915	010011110010001
15	1	0.001253	110100010011101
15	1	0.001318	000010101100011
15	1	0.001489	110001101111011
15	1	0.001379	101100101010011
16	1	0.003091	1001100111111011
16	1	0.001959	0111001101110001
16	1	0.002125	0001100010011001
16	1	0.002597	1110101100111101
16	1	0.000496	0001111111000100
16	1	0.002626	1000011011111101
16	1	0.002837	1011110101010011
16	1	0.003248	0111000000110111
16	1	0.000433	1110010111111000
16	1	0.001827	1010010010100001
16	1	0.000935	0010010000100010
16	1	0.002030	0111010111001001
16	1	0.001673	1011011000011110
16	1	0.000479	0101111011000100
16	1	0.001953	1001010010110001
16	1	0.000587	1100001101010100
16	1	0.000967	1110101001100010
16	1	0.002412	0110000011110101
16	1	0.000562	0000101100010100
16	1	0.001252	0100010101011010
17	1	0.002605	00011111011011010
17	1	0.004670	10001101111000101
17	1	0.001711	00010101111011100
17	1	0.002991	00000000100010110
17	1	0.007117	11110110001011111
17	1	0.007084	11001001111101111
17	1	0.005783	10010110101010011
17	1	0.005014	01010011100101101
17	1	0.000476	11011010010001000
17	1	0.006485	01011111110010111
17	1	0.003285	11111011001101110
17	1	0.000108	11011101111000000
17	1	0.000163	01110101110100000
17	1	0.002580	01011111101011010
17	1	0.004743	00111011001100101
17	1	0.002702	11110101011111010
17	1	0.000536	00100110011001000
17	1	0.001054	00011000011100100
17	1	0.001787	11010011101000010
17	1	0.003489	01110100111111110
18	1	0.001437	110110111001011000
18	1	0.000434	010111001000010000
18	1	0.007832	010111000001110001
18	1	0.012585	110010110100111011
18	1	0.007427	010110101011001001
