n	retval	time	result
10	1	0.000006	0011101001
10	1	0.000003	0100111001
10	1	0.000002	1101010101
10	1	0.000003	1100000000
10	1	0.000002	0100000101
10	1	0.000004	0111110010
10	1	0.000003	0001110011
10	1	0.000002	1111101111
10	1	0.000002	0011010011
10	1	0.000002	1000011010
10	1	0.000002	1010111111
10	1	0.000002	1001000011
10	1	0.000002	0100011000
10	1	0.000002	1101001100
10	1	0.000002	0010011100
10	1	0.000003	1011010001
10	1	0.000004	0111110010
10	1	0.000003	0010110010
10	1	0.000003	1101101001
10	1	0.000003	0011101001
11	1	0.000004	10001010110
11	1	0.000003	11110011101
11	1	0.000003	01110110101
11	1	0.000005	10001000010
11	1	0.000005	01011001010
11	1	0.000005	01010010000
11	1	0.000002	00010011111
11	1	0.000004	10110110001
11	1	0.000002	01000000111
11	1	0.000003	11111010111
11	1	0.000002	01010111111
11	1	0.000004	10110000101
11	1	0.000003	10001110110
11	1	0.000004	01110000110
11	1	0.000002	01000000111
11	1	0.000005	11101000001
11	1	0.000004	11001110001
11	1	0.000004	11011100110
11	1	0.000003	10001011110
11	1	0.000004	10101011010
12	1	0.000005	100011111001
12	1	0.000004	001010010101
12	1	0.000008	001011010100
12	1	0.000006	101100000001
12	1	0.000024	111101100000
12	1	0.000003	101100110111
12	1	0.000005	100101100011
12	1	0.000007	100011000100
12	1	0.000008	111101110010
12	1	0.000003	000001011101
12	1	0.000006	001110001010
12	1	0.000006	010011101010
12	1	0.000008	101111101000
12	1	0.000007	001110000010
12	1	0.000004	101101111011
12	1	0.000007	001011000110
12	1	0.000009	011111000100
12	1	0.000005	010001010001
12	1	0.000006	011110100011
12	1	0.000007	111010001100
13	1	0.000009	1000101011000
13	1	0.000006	0000110011101
13	1	0.000010	1110011011000
13	1	0.000004	0011000001111
13	1	0.000007	0001001001001
13	1	0.000008	0101101000110
13	1	0.000007	1111000010101
13	1	0.000004	0001100101111
13	1	0.000011	0011101010000
13	1	0.000004	1101000100111
13	1	0.000007	0101110101101
13	1	0.000004	1110101011111
13	1	0.000003	0011001111101
13	1	0.000003	0000101110011
13	1	0.000006	1100000100101
13	1	0.000009	0011011001001
13	1	0.000007	1010010010011
13	1	0.000008	1100011010010
13	1	0.000011	1111110011100
13	1	0.000007	0100110111001
14	1	0.000019	01101110100010
14	1	0.000012	01010011100100
14	1	0.000007	10100100110110
14	1	0.000015	11000110100001
